dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp
100680773,URN:NBN:no-nb_digibok_2024100848123,Blåhvalen : den utrolige historien om det største dyret som noen gang har levd,"Tjernshaugen, Andreas / Renslebråten, Line",oai:nb.bibsys.no:999920041980502202,4314e0c834c0b2141b96c21cdac4c814,,Oslo,20200101,2020,Kagge forlag,nob,Barnelitteratur / Blåhval / Hvaler / Kvalar / Blåhvaler / barnebøker / faktabøker / havet / dyr,599.5248,tekst / stillbilde,Faglitteratur,digibok,nb,20250325
100644976,URN:NBN:no-nb_pliktmonografi_000005243,Ny vitenskap : junior,"Therkelsen , Line",oai:nb.bibsys.no:991501577894702202,02e3c91a34f910ece8b32893e058e6a9,,Tønsberg,2015,2015,Orage,nob / eng,barnebøker / jorda / kropp / dyr / forskning,500,,Faglitteratur,digibok,,
100410389,URN:NBN:no-nb_digibok_2020070848155,Strandkrabba,"Vaaler , André / Jansen , Oscar / Rikardsen , Audun Håvard",oai:nb.bibsys.no:999919879801902202,b63e351be7f373444ab09e56e90c97e2,,Kristiansand,20170101,2017,Portal,nob,Krepsdyr / Krepsdyr / barnebøker / billedbøker / krabber,839.823,short story / text,Skjønnlitteratur,digibok,nb,20060101
100400100,URN:NBN:no-nb_digibok_2020042248596,Den hvite løven,"Norman , Mona Grivi / Martinsen , Isabell",oai:nb.bibsys.no:999919976285702202,e7f0eb2c75f01023a53538a986175160,,Oslo,20190101,2019,Aschehoug,nob,Zoologiske hager / Zoologiske hagar / barnebøker / dyrehager / detektivfortellinger / spenning / løver,839.8238,novel / text,Skjønnlitteratur,digibok,nb,20060101
100400183,URN:NBN:no-nb_digibok_2020022077002,Spring så fort du kan,"Nordin , Sofia / Stokseth , Lene",oai:nb.bibsys.no:991510239804702202,ac89ddf024097d78df36c335a9d83072,,Bergen,20150101,2015,Mangschou,nob / swe,epidemier / sosial / endring / overlevelsesteknikk / forelskelse / mot / etikk / dystopier / framtidssamfunn / ungdomsbøker / barnebøker / science fiction / Sverige,839.73,novel,Skjønnlitteratur,digibok,nb,20060101
100397533,URN:NBN:no-nb_digibok_2020022448013,Den glupske labyrinten : de gikk inn og kom aldri ut igjen : lesenivå : 6,"Tiedemann , Anker / Björnsson , Tomas / Presttun , Jan",oai:nb.bibsys.no:999919996182602202,a6fca3c96b628c1f1c2a15ca4a465a23,,Bergen,20190101,2019,Fagbokforlaget,nob / dan,barnebøker / ungdomsbøker / matematikk / lettlest / lesetrening,839.8138,short story / tekst,Skjønnlitteratur,digibok,nb,20060101
100585884,URN:NBN:no-nb_digibok_2022010607503,Vesla Veslevoksen utforsker naturen,"Silkoset , Anne Christine Monsen",oai:nb.bibsys.no:999919877301902202,882674ebc5e866d2c58d0e65d4bfba22,,[Oslo],2017,2017,Kolofon,nob,Årstider / Årstider / Naturskildringer / Naturskildringar / barnebøker / naturen / undring / fantasi / fortellinger,839.823,"humor, satire / text",Skjønnlitteratur,digibok,nb,20060101
100641302,URN:NBN:no-nb_pliktmonografi_000000810,Sommer med Jo,"Slettebakken , Kristine Rui / Slettebakken , Kristine Rui",oai:nb.bibsys.no:999920136292302202,9b5a22930a2b7f3cf49951dc7758d7a1,,Oslo,2021,2021,Gyldendal,nob,Familieforhold / Familieforhold / Sommerferie / Sommerferie / Vennskap / Vennskap / Hemmeligheter / Hemmelegheiter / Innsatte / Innsette / barnebøker / fengsel / innsatte / foreldre / familieforhold / norsk barnelitteratur,839.8238,fiction / tekst,Skjønnlitteratur,digibok,,
100580874,URN:NBN:no-nb_digibok_2021082748589,Maja livredd : for sånn er det å ha angst- og tvangslidelse,"Eilertsen , Gro Merete Grønvold / Hasund , Ingrid Kristine",oai:nb.bibsys.no:999919840464002202,e55b9bf81590f338fd9796274e313be4,,Stavanger,2016,2016,Hertevig forl.,nob,Child Psychiatry / Anxiety / Reading Materials / angst / pediatri / tvangslidelser / barn / barnebøker / redsel / tvangstanker / barnepsykologi / psykologi / faktabøker,618.928522,,Faglitteratur,digibok,nb,20060101
100417372,URN:NBN:no-nb_digibok_2020090107114,Redd Ronny !,"Moen , Rune R. ( Rune Rogndokken ) / Berge , Ronja",oai:nb.bibsys.no:999919856168402202,ad2fefadb2d7e55a2a76996c2b1de4aa,,[Oslo],20160101,2016,Cappelen Damm,nob,barnebøker / gutter / vennskap / humor / fedre / sønner,028.5 / 839.823,novel,Skjønnlitteratur,digibok,nb,20060101
