,dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genre,literaryform,doctype,ocr_creator,ocr_timestamp,genres
24,700016384.0,URN:NBN:no-nb_dhlab_700016384,Tillegg til tildelingsbrev for 2020 - garantiordning for reforsikring av kreditt,,,,,,2020-06-22 00:00:00,2020.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet / GIEK",no,,,Tildelingsbrev,Tildelingsbrev,kudos,kudos,2022-06-08 23:08:17,
55,700021605.0,URN:NBN:no-nb_dhlab_700021605,Oppdragsbrev,,,,,,2021-12-23 00:00:00,2021.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet / Innovasjon Norge / Innovasjon Noreg / Innovasjon Norge / Innovasjon Noreg",no,,,Ukategorisert,Oppdragsbrev,kudos,kudos,2022-10-06 14:08:02,
56,700013863.0,URN:NBN:no-nb_dhlab_700013863,Brudd på anskaffelsesregelverket og mulige årsaker til disse bruddene,,,,,,2008-11-26 00:00:00,2008.0,"Fornyings- og administrasjonsdepartementet / Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Ukategorisert,Rapport,kudos,kudos,2022-10-06 11:34:15,
60,700010801.0,URN:NBN:no-nb_dhlab_700010801,Kulturminnefondets samfunnsnytte,"Menon Economics / Magnussen , Kristin / Gierløff , Caroline Wang / Iversen , Endre Kildal / Dombu , Siri Voll / Ibenholdt , Karin / Navrud , Ståle",,,,,2017-01-01 00:00:00,2017.0,"Norsk Kulturminnefond / Norsk kulturminnefond , Sekretariatet",nb,,,Evaluering,,kudos,kudos,2022-10-24 11:01:37,
76,700018183.0,URN:NBN:no-nb_dhlab_700018183,Meld . St . 20 ( 2016–2017 ) : Pliktsystemet for torsketrålere,,,,,,2017-03-17 11:45:00,2017.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Melding til Stortinget,Melding til Stortinget,kudos,kudos,2023-02-01 11:16:27,
96,700003105.0,URN:NBN:no-nb_dhlab_700003105,Konsekvenser av nedleggelse av Haldenreaktoren ( . pdf 903 kB ),,,,8251837367,,2005-06-01 00:00:00,2005.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Ukategorisert,Rapport,kudos,kudos,2022-10-06 11:34:15,
98,700021272.0,URN:NBN:no-nb_dhlab_700021272,Rapport mulighetsstudie Nasjonalgalleriet - andre del - 2022,Nasjonalmuseet / Stiftelsen Nasjonalmuseet for kunst / Sparebankstiftelsen DNB,,,,,2022-01-26 00:00:00,2022.0,Kultur- og likestillingsdepartementet / KUD,no,,,Ukategorisert,Rapport,kudos,kudos,2022-10-06 11:34:15,
107,700007795.0,URN:NBN:no-nb_dhlab_700007795,Tildelingsbrev,,,,,,2016-01-05 00:00:00,2016.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet / Havforskningsinstituttet / Nasjonalt institutt for ernærings- og sjømatforskning / NIFES / Nasjonalt institutt for ernærings- og sjømatforskning NIFES",no,,,Tildelingsbrev,Tildelingsbrev,kudos,kudos,2022-06-08 23:29:40,
109,700016513.0,URN:NBN:no-nb_dhlab_700016513,Nasjonal bibliotekstrategi 2020-2023 - Rom for demokrati og dannelse,,,,,,2019-09-02 00:00:00,2019.0,Kulturdepartementet / Kunnskapsdepartementet / Kultur- og likestillingsdepartementet / KD / KUD,no,,,Ukategorisert,Plan/strategi,kudos,kudos,2022-10-06 14:08:02,
140,700012714.0,URN:NBN:no-nb_dhlab_700012714,Tildelingsbrev ( . pdf ),,,,,,2015-03-18 00:00:00,2015.0,Kulturdepartementet / Kultur- og likestillingsdepartementet / KUD / Kunst i offentlege rom - KORO / Kunst i offentlige rom / KORO / KUNST I OFFENTLIGE ROM KORO,no,,,Tildelingsbrev,Tildelingsbrev,kudos,kudos,2022-06-08 23:32:51,
